,Right_Hip_Angle,Right_Hip_Angle,Right_Hip_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Foot_Pitch_Angle
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
ITEM,X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4
38.0,23.8196,-0.03129,-2.62926,14.15929,-2.06071,-5.52307,-2.4841,12.49637,3.26185,11.69011,4.1636,176.1035,-0.42228
39.0,23.7092,-0.04551,-2.84454,14.00604,-2.07035,-5.35942,-2.40485,12.46439,3.29376,11.8224,4.13612,176.11966,-0.41
40.0,23.55554,-0.08579,-3.08471,13.7663,-2.08108,-5.15795,-2.34987,12.44111,3.32221,11.96766,4.08677,176.13414,-0.40369
41.0,23.34908,-0.15311,-3.36098,13.43283,-2.09962,-4.90904,-2.32223,12.42554,3.34386,12.1192,4.00968,176.15201,-0.40348
42.0,23.08637,-0.24789,-3.6802,13.00965,-2.13574,-4.61031,-2.32546,12.41622,3.35962,12.26496,3.89549,176.17683,-0.40961
43.0,22.77471,-0.36298,-4.0487,12.50762,-2.19889,-4.26726,-2.36322,12.41081,3.37355,12.39686,3.74145,176.2149,-0.4227
44.0,22.42778,-0.48244,-4.47119,11.93358,-2.29032,-3.89499,-2.43892,12.40634,3.39113,12.51835,3.5591,176.278,-0.44361
45.0,22.05516,-0.59263,-4.94302,11.28761,-2.3992,-3.5174,-2.55524,12.40095,3.41788,12.63745,3.36627,176.37877,-0.47342
46.0,21.65907,-0.69036,-5.44661,10.56878,-2.50574,-3.16253,-2.71296,12.39612,3.45747,12.75834,3.17681,176.5249,-0.51377
47.0,21.24166,-0.77971,-5.95613,9.7834,-2.58745,-2.85811,-2.90995,12.3981,3.51072,12.881,3.00007,176.71866,-0.56724
48.0,20.81443,-0.86632,-6.43936,8.95249,-2.62408,-2.63283,-3.14127,12.41726,3.57657,13.00322,2.84294,176.95729,-0.63712
49.0,20.40294,-0.95489,-6.85531,8.11653,-2.60157,-2.52188,-3.39969,12.46647,3.6561,13.12089,2.71014,177.23203,-0.72653
50.0,20.03921,-1.04895,-7.16144,7.32694,-2.51457,-2.55837,-3.67545,12.55945,3.75188,13.22868,2.60396,177.52806,-0.83715
51.0,19.74651,-1.15057,-7.33182,6.62517,-2.36642,-2.75983,-3.95942,12.70784,3.87173,13.32229,2.5246,177.8266,-0.96872
52.0,19.52891,-1.2592,-7.36656,6.02729,-2.16647,-3.11521,-4.24432,12.91679,4.02302,13.40016,2.47108,178.10751,-1.11858
53.0,19.37118,-1.369,-7.28834,5.52312,-1.92851,-3.58803,-4.52421,13.17712,4.20925,13.46459,2.44251,178.35248,-1.28006
54.0,19.24725,-1.46588,-7.13747,5.08722,-1.67402,-4.12383,-4.79356,13.4609,4.42893,13.52035,2.4383,178.54762,-1.44129
55.0,19.1358,-1.529,-6.96679,4.69584,-1.43552,-4.6592,-5.04706,13.73471,4.67707,13.57309,2.45793,178.685,-1.5895
56.0,19.02907,-1.53838,-6.83197,4.3382,-1.25198,-5.13307,-5.27722,13.98294,4.94584,13.6287,2.50137,178.76369,-1.7184
57.0,18.92917,-1.48124,-6.78132,4.01171,-1.1546,-5.49468,-5.47604,14.2089,5.22387,13.69376,2.5699,178.79019,-1.82884
58.0,18.84155,-1.35308,-6.84692,3.71466,-1.15108,-5.70774,-5.63828,14.41324,5.49512,13.77462,2.6659,178.77641,-1.92266
59.0,18.7732,-1.15778,-7.03424,3.45033,-1.22432,-5.75772,-5.76008,14.58331,5.74101,13.87311,2.78961,178.73457,-1.99912
60.0,18.72607,-0.91431,-7.31534,3.22678,-1.34192,-5.6625,-5.84182,14.70137,5.95067,13.97965,2.93181,178.66998,-2.05657
61.0,18.68306,-0.66589,-7.63382,3.04512,-1.46109,-5.47138,-5.89328,14.75307,6.12982,14.06867,3.06858,178.57539,-2.09443
62.0,18.61175,-0.46824,-7.92124,2.89898,-1.53949,-5.24778,-5.92841,14.73293,6.29556,14.10747,3.16932,178.4346,-2.11364
63.0,18.48604,-0.3587,-8.11472,2.78619,-1.55857,-5.04764,-5.95353,14.65232,6.46021,14.07299,3.21434,178.23314,-2.11603
64.0,18.30017,-0.33788,-8.16572,2.71187,-1.53387,-4.9054,-5.96295,14.54055,6.61739,13.96178,3.20522,177.96596,-2.1037
65.0,18.06902,-0.37087,-8.04229,2.68198,-1.50044,-4.83447,-5.94362,14.43221,6.74148,13.79105,3.16634,177.64006,-2.07856
66.0,17.82595,-0.39842,-7.73386,2.70261,-1.48857,-4.8385,-5.88056,14.34988,6.80402,13.59601,3.14226,177.27344,-2.04233
67.0,17.61493,-0.35947,-7.25477,2.78431,-1.50797,-4.90919,-5.75973,14.29747,6.78347,13.41811,3.18489,176.88733,-1.99667
68.0,17.47494,-0.21509,-6.63963,2.93823,-1.54851,-5.0278,-5.57658,14.26633,6.67515,13.28758,3.33429,176.49544,-1.94356
69.0,17.43022,0.04536,-5.93274,3.17097,-1.59213,-5.16788,-5.3378,14.24613,6.4889,13.2163,3.60919,176.1001,-1.88555
70.0,17.48909,0.41379,-5.17717,3.48493,-1.62345,-5.30597,-5.05397,14.23109,6.24551,13.20226,4.0094,175.696,-1.82547
71.0,17.64285,0.86951,-4.40762,3.87759,-1.63647,-5.42328,-4.73512,14.22339,5.9679,13.23319,4.51698,175.27472,-1.76544
72.0,17.86398,1.37955,-3.64996,4.33615,-1.63961,-5.49663,-4.39248,14.23447,5.67014,13.2864,5.09404,174.82753,-1.70557
73.0,18.11205,1.90483,-2.92726,4.83723,-1.65264,-5.50065,-4.04002,14.27658,5.35909,13.33397,5.68767,174.35071,-1.64404
74.0,18.34778,2.40876,-2.26612,5.35145,-1.69446,-5.42035,-3.69265,14.35192,5.04302,13.35415,6.24319,173.85204,-1.57938
75.0,18.54403,2.85797,-1.69545,5.84855,-1.77563,-5.25595,-3.36514,14.45197,4.73396,13.33823,6.7136,173.35118,-1.51179
76.0,18.68444,3.22155,-1.2406,6.30009,-1.89868,-5.01977,-3.07264,14.56276,4.44899,13.28643,7.0637,172.87186,-1.44225
77.0,18.75762,3.47848,-0.91815,6.68087,-2.06048,-4.73304,-2.82991,14.67146,4.2124,13.20199,7.27609,172.43175,-1.37221
78.0,18.75505,3.62483,-0.73077,6.97067,-2.2536,-4.42274,-2.64814,14.77328,4.05169,13.08927,7.35545,172.03667,-1.30467
79.0,18.67487,3.67431,-0.66242,7.15773,-2.46535,-4.11888,-2.5315,14.87224,3.989,12.95583,7.32751,171.68027,-1.24404
80.0,18.52737,3.65167,-0.67748,7.24199,-2.67547,-3.85368,-2.47723,14.97484,4.0355,12.81446,7.23247,171.34811,-1.19449
81.0,18.33414,3.5828,-0.72657,7.23449,-2.85606,-3.65855,-2.47847,15.08332,4.18969,12.68107,7.11479,171.02298,-1.15828
82.0,18.12021,3.48813,-0.75981,7.15204,-2.97913,-3.55568,-2.52663,15.1938,4.4378,12.57003,7.01255,170.68973,-1.13515
83.0,17.90621,3.38244,-0.7421,7.01109,-3.02899,-3.54852,-2.61255,15.29963,4.75504,12.49089,6.95042,170.33932,-1.12254
84.0,17.70559,3.27508,-0.65705,6.8255,-3.01052,-3.62245,-2.7272,15.39774,5.10802,12.44695,6.9364,169.97121,-1.11638
