,Right_Hip_Angle,Right_Hip_Angle,Right_Hip_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Foot_Pitch_Angle
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
ITEM,X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4
162.0,23.39132,-1.5836,2.19403,12.52031,-2.38099,-4.32293,-6.74522,14.77799,0.8564,6.9813,4.12842,-12.77405,1.72633
163.0,23.55599,-1.69237,3.04716,13.08355,-1.92887,-5.7124,-6.26252,14.79646,0.97192,7.17151,4.22761,-12.36705,1.75427
164.0,23.6165,-1.78442,3.5035,13.44041,-1.57106,-7.06408,-5.90942,14.74265,1.41394,7.39787,4.31312,-11.9206,1.77789
165.0,23.58405,-1.8577,3.45463,13.61408,-1.35601,-8.11791,-5.64627,14.6382,2.02345,7.65789,4.38397,-11.43834,1.78877
166.0,23.49845,-1.90949,2.89314,13.65749,-1.30114,-8.69717,-5.42872,14.51338,2.63762,7.94721,4.44035,-10.93386,1.78573
167.0,23.40965,-1.9365,1.91853,13.63171,-1.39049,-8.74435,-5.21818,14.39634,3.12046,8.25961,4.48279,-10.42945,1.77166
168.0,23.35874,-1.93845,0.70478,13.58869,-1.58164,-8.31975,-4.9879,14.3056,3.38786,8.58753,4.51241,-9.95193,1.7509
169.0,23.36846,-1.92155,-0.553,13.56381,-1.81808,-7.56852,-4.72723,14.24734,3.42125,8.92257,4.53085,-9.52801,1.72719
170.0,23.443,-1.89566,-1.68524,13.5749,-2.04326,-6.67549,-4.44199,14.21629,3.26332,9.25704,4.54064,-9.18058,1.70278
171.0,23.57308,-1.86876,-2.57575,13.62621,-2.2126,-5.82241,-4.14871,14.19924,2.99761,9.58503,4.54476,-8.92482,1.67856
172.0,23.74192,-1.8449,-3.17223,13.71438,-2.29966,-5.15191,-3.86604,14.17972,2.71931,9.90151,4.54546,-8.7649,1.6547
173.0,23.92979,-1.8253,-3.48113,13.83202,-2.29705,-4.74456,-3.60734,14.14352,2.50795,10.20173,4.54353,-8.69405,1.63137
174.0,24.1174,-1.81041,-3.55287,13.96773,-2.21569,-4.61228,-3.37856,14.08436,2.41044,10.48211,4.53803,-8.69753,1.60909
175.0,24.28798,-1.80019,-3.46436,14.10524,-2.08261,-4.70642,-3.17972,14.00699,2.43635,10.74162,4.5272,-8.75628,1.58851
176.0,24.42787,-1.79463,-3.30149,14.22507,-1.93383,-4.93464,-3.00635,13.92458,2.55998,10.98151,4.5092,-8.84999,1.57041
177.0,24.52611,-1.79531,-3.14474,14.30731,-1.80369,-5.18325,-2.85093,13.85175,2.72928,11.20399,4.48153,-8.95857,1.55557
178.0,24.57483,-1.8054,-3.05924,14.33531,-1.71742,-5.34434,-2.70608,13.79815,2.88444,11.41085,4.44051,-9.06348,1.5442
179.0,24.57122,-1.82747,-3.08909,14.29849,-1.68964,-5.34119,-2.56792,13.7664,2.97951,11.60363,4.38228,-9.15014,1.53573
180.0,24.51728,-1.86206,-3.25681,14.19199,-1.72511,-5.14254,-2.43792,13.75284,2.99672,11.78395,4.30394,-9.20922,1.52946
181.0,24.41802,-1.91017,-3.56649,14.0149,-1.81891,-4.76294,-2.32283,13.75008,2.94835,11.95358,4.20325,-9.23483,1.52516
182.0,24.27974,-1.9761,-4.0058,13.7689,-1.95637,-4.25254,-2.23283,13.74972,2.86713,12.11444,4.07824,-9.22199,1.52321
183.0,24.10941,-2.06732,-4.54633,13.45712,-2.11411,-3.6812,-2.1789,13.74407,2.79039,12.26889,3.92791,-9.16551,1.52426
184.0,23.91333,-2.19131,-5.14531,13.08285,-2.26406,-3.12272,-2.16964,13.72722,2.74577,12.41973,3.75358,-9.0602,1.52918
185.0,23.69293,-2.35091,-5.75217,12.64712,-2.3799,-2.64034,-2.20823,13.69546,2.74291,12.56895,3.55956,-8.9023,1.5393
186.0,23.44056,-2.54166,-6.32029,12.14662,-2.44337,-2.27498,-2.29077,13.64738,2.77277,12.71582,3.35275,-8.69021,1.55654
187.0,23.14289,-2.75357,-6.82093,11.57657,-2.44715,-2.03789,-2.40731,13.58419,2.81349,12.85701,3.14123,-8.42417,1.58328
188.0,22.79,-2.97509,-7.24856,10.93774,-2.3931,-1.91376,-2.54484,13.50998,2.84056,12.98826,2.93334,-8.10693,1.62208
189.0,22.37978,-3.19518,-7.60479,10.23945,-2.28808,-1.8842,-2.69152,13.43183,2.83821,13.10537,2.73698,-7.74564,1.67473
190.0,21.91709,-3.40397,-7.87381,9.4984,-2.1414,-1.95831,-2.83976,13.36066,2.80904,13.2053,2.5589,-7.35285,1.74129
191.0,21.41538,-3.59229,-8.02779,8.73916,-1.96842,-2.17002,-2.98697,13.31136,2.77759,13.28741,2.40434,-6.94566,1.81919
192.0,20.8993,-3.7503,-8.05846,7.99337,-1.79375,-2.53764,-3.13467,13.29943,2.77854,13.35411,2.27732,-6.54345,1.90298
193.0,20.40258,-3.86828,-7.99062,7.29454,-1.64236,-3.04198,-3.28869,13.33263,2.84485,13.41065,2.18096,-6.16619,1.98503
194.0,19.95974,-3.94019,-7.86996,6.66914,-1.52694,-3.62685,-3.45739,13.40667,2.99278,13.46431,2.11765,-5.83267,2.05654
195.0,19.59714,-3.96632,-7.74904,6.13001,-1.44607,-4.2171,-3.65045,13.50875,3.2219,13.52293,2.08865,-5.55763,2.109
196.0,19.32599,-3.9532,-7.67665,5.67442,-1.3912,-4.73961,-3.87538,13.62496,3.52028,13.5925,2.09304,-5.34935,2.13672
197.0,19.13939,-3.91128,-7.68729,5.28804,-1.3526,-5.14077,-4.12973,13.74523,3.86591,13.67451,2.12722,-5.20894,2.14159
198.0,19.01772,-3.85303,-7.79359,4.95466,-1.32115,-5.39461,-4.39434,13.86486,4.22487,13.76515,2.18447,-5.1313,2.13643
199.0,18.9375,-3.79138,-7.98561,4.66363,-1.28858,-5.5021,-4.6399,13.98149,4.55893,13.85692,2.25578,-5.10702,2.13866
200.0,18.87507,-3.73621,-8.23615,4.40718,-1.24839,-5.48587,-4.84377,14.08919,4.84065,13.9413,2.33257,-5.12463,2.1574
201.0,18.80616,-3.68929,-8.50932,4.17506,-1.1984,-5.3818,-4.99603,14.1789,5.05885,14.0119,2.40991,-5.17253,2.18979
202.0,18.70984,-3.64293,-8.76675,3.95669,-1.14161,-5.23119,-5.09345,14.24692,5.21321,14.06662,2.48846,-5.24147,2.22837
203.0,18.57679,-3.58481,-8.96947,3.74744,-1.08267,-5.07589,-5.13611,14.29934,5.30852,14.10768,2.57448,-5.32704,2.26777
204.0,18.41319,-3.50342,-9.08204,3.55047,-1.02479,-4.95224,-5.12849,14.34789,5.35178,14.14004,2.67745,-5.43026,2.30595
205.0,18.23713,-3.39088,-9.07796,3.37553,-0.9687,-4.88527,-5.07824,14.40291,5.35018,14.16905,2.80693,-5.55586,2.34278
206.0,18.07164,-3.24434,-8.94163,3.23863,-0.91042,-4.8869,-4.99178,14.467,5.31038,14.19847,2.97099,-5.71036,2.37775
207.0,17.93579,-3.06389,-8.66898,3.15672,-0.84086,-4.95644,-4.87197,14.5329,5.23881,14.2295,3.17632,-5.90083,2.40871
208.0,17.83982,-2.8475,-8.26959,3.14327,-0.7509,-5.08012,-4.71777,14.59051,5.14104,14.26056,3.42918,-6.13349,2.43337
209.0,17.78505,-2.58893,-7.76521,3.20646,-0.638,-5.23419,-4.52744,14.63539,5.02247,14.2867,3.73507,-6.41306,2.45045
210.0,17.76695,-2.27948,-7.18333,3.34741,-0.51138,-5.39382,-4.30496,14.66978,4.89306,14.30024,4.09681,-6.74344,2.45808
211.0,17.77878,-1.91096,-6.55123,3.56196,-0.39282,-5.53942,-4.06047,14.69968,4.76825,14.29301,4.51236,-7.12851,2.45255
212.0,17.81667,-1.48251,-5.89377,3.84874,-0.30696,-5.65416,-3.80247,14.73026,4.66139,14.25947,4.97308,-7.57103,2.42871
213.0,17.88416,-1.00772,-5.233,4.21441,-0.26763,-5.71913,-3.5329,14.75986,4.57451,14.19802,5.46332,-8.07047,2.3811
214.0,17.98992,-0.51456,-4.58753,4.66759,-0.27386,-5.71596,-3.25009,14.77698,4.4976,14.10995,5.96097,-8.6217,2.30523
215.0,18.13444,-0.03656,-3.9737,5.20208,-0.31808,-5.63268,-2.95431,14.7634,4.41661,13.9984,6.43867,-9.21473,2.19846
216.0,18.30014,0.39563,-3.40915,5.78794,-0.39422,-5.46378,-2.65083,14.70428,4.32241,13.86741,6.86659,-9.83572,2.06109
217.0,18.4607,0.75572,-2.91311,6.38325,-0.4982,-5.20967,-2.34988,14.60052,4.21535,13.72171,7.21659,-10.46893,1.89889
218.0,18.59458,1.02136,-2.50349,6.94949,-0.62543,-4.87881,-2.06471,14.47512,4.1056,13.56669,7.46751,-11.09891,1.72455
219.0,18.68843,1.17872,-2.19195,7.4554,-0.77016,-4.48875,-1.80992,14.36451,4.01172,13.40856,7.61086,-11.71399,1.55429
220.0,18.73692,1.22877,-1.97612,7.87676,-0.92527,-4.06468,-1.59982,14.30045,3.95676,13.25491,7.65464,-12.31108,1.4012
221.0,18.7394,1.18973,-1.83407,8.19353,-1.08314,-3.63871,-1.44654,14.29885,3.96144,13.11507,7.62193,-12.89646,1.27177
222.0,18.69574,1.09445,-1.72749,8.3871,-1.23776,-3.24759,-1.35802,14.35998,4.03569,12.99949,7.54495,-13.47989,1.16719
223.0,18.60538,0.98174,-1.61098,8.44257,-1.38383,-2.92706,-1.33601,14.47343,4.17318,12.91776,7.45748,-14.0672,1.08615
224.0,18.46866,0.88521,-1.44538,8.35409,-1.51597,-2.7035,-1.3758,14.62551,4.35357,12.87611,7.3881,-14.65611,1.02681
225.0,18.28852,0.82531,-1.21169,8.12792,-1.6332,-2.58909,-1.46961,14.80532,4.55342,12.87556,7.35448,-15.23439,0.98662
226.0,18.07386,0.80564,-0.9164,7.78428,-1.74102,-2.5823,-1.61019,15.00273,4.75563,12.91198,7.36027,-15.78146,0.96059
227.0,17.83917,0.81492,-0.58085,7.35565,-1.84609,-2.67227,-1.78921,15.2023,4.94863,12.97714,7.39591,-16.27488,0.94133
228.0,17.59805,0.83458,-0.22469,6.88011,-1.95112,-2.84538,-1.99366,15.3818,5.12189,13.05979,7.44412,-16.69832,0.92046
229.0,17.36017,0.84421,0.14087,6.39761,-2.05316,-3.08844,-2.20519,15.5158,5.26592,13.14692,7.48643,-17.04573,0.88947
230.0,17.13307,0.82805,0.50799,5.94994,-2.14556,-3.38564,-2.40107,15.58274,5.37232,13.22534,7.51002,-17.32091,0.84098
231.0,16.9234,0.78327,0.86453,5.5788,-2.22463,-3.71383,-2.55629,15.5721,5.43271,13.28341,7.51182,-17.53536,0.77022
232.0,16.73652,0.72351,1.19012,5.32048,-2.29486,-4.04282,-2.64893,15.48708,5.44038,13.31233,7.49923,-17.70622,0.675
233.0,16.57496,0.67407,1.46118,5.19918,-2.36922,-4.3439,-2.66829,15.34335,5.39283,13.30546,7.48714,-17.8546,0.5539
234.0,16.43486,0.66395,1.66323,5.21854,-2.46637,-4.60462,-2.62286,15.16169,5.29286,13.25754,7.49273,-18.00344,0.40273
235.0,16.30384,0.71789,1.80023,5.35859,-2.60266,-4.83853,-2.54096,14.95738,5.14747,13.16462,7.53018,-18.17463,0.21242
236.0,16.16845,0.84708,1.88908,5.58904,-2.78103,-5.06697,-2.45864,14.7383,4.95384,13.02401,7.60718,-18.38608,-0.02838
237.0,16.02637,1.04184,1.94495,5.89016,-2.98304,-5.3048,-2.40562,14.51148,4.69935,12.83474,7.7242,-18.64915,-0.32664
238.0,15.88641,1.27496,1.97952,6.26091,-3.16999,-5.57072,-2.39522,14.28926,4.37405,12.5976,7.87631,-18.96698,-0.67759
239.0,15.75772,1.51298,2.01082,6.70965,-3.2925,-5.9011,-2.42075,14.09284,3.97605,12.31635,8.05501,-19.33396,-1.06034
240.0,15.64317,1.72496,2.06495,7.24228,-3.30314,-6.34788,-2.46063,13.95745,3.51264,11.99844,8.24977,-19.73695,-1.43719
241.0,15.54238,1.88582,2.16435,7.85453,-3.16608,-6.95675,-2.48939,13.93286,2.99964,11.65423,8.45075,-20.1583,-1.7562
242.0,15.45595,1.97732,2.31536,8.52572,-2.86336,-7.73725,-2.48704,14.06465,2.45927,11.29482,8.65039,-20.57893,-1.96029
243.0,15.38489,1.99054,2.50596,9.21597,-2.4001,-8.65297,-2.44531,14.35823,1.92977,10.93127,8.8431,-20.98052,-2.00771
244.0,15.32619,1.93192,2.71289,9.87137,-1.80922,-9.64231,-2.3748,14.76069,1.48199,10.5737,9.02437,-21.34694,-1.89416
245.0,15.27319,1.82841,2.90959,10.43682,-1.15229,-10.63633,-2.30684,15.18667,1.20457,10.2301,9.19085,-21.66552,-1.65527
246.0,15.21844,1.72156,3.07364,10.86696,-0.50879,-11.57292,-2.28471,15.56798,1.17079,9.90594,9.34084,-21.92815,-1.34315
247.0,15.15423,1.64947,3.19418,11.12768,0.04707,-12.40292,-2.34439,15.88348,1.40584,9.60512,9.47368,-22.13227,-0.99562
248.0,15.07399,1.63259,3.27384,11.19612,0.46623,-13.08964,-2.49647,16.15073,1.8715,9.3305,9.58876,-22.28088,-0.62126
249.0,14.97602,1.67243,3.32402,11.06547,0.73004,-13.60496,-2.71931,16.40004,2.47355,9.08345,9.68478,-22.38162,-0.20513
250.0,14.86609,1.75886,3.35989,10.74771,0.84487,-13.92865,-2.96808,16.65502,3.08822,8.86351,9.76034,-22.44534,0.27627
251.0,14.75562,1.87938,3.39838,10.26989,0.83226,-14.05365,-3.19208,16.92406,3.59624,8.66816,9.81504,-22.4843,0.84131
252.0,14.65817,2.02591,3.45503,9.66965,0.71779,-13.99155,-3.34965,17.19967,3.91247,8.49279,9.85061,-22.51063,1.49494
253.0,14.58718,2.19647,3.53971,8.99228,0.52285,-13.77352,-3.41553,17.46405,4.00208,8.33155,9.87084,-22.53487,2.22757
254.0,14.55468,2.39245,3.65445,8.28671,0.26223,-13.44759,-3.38226,17.69793,3.88092,8.17936,9.88043,-22.56428,3.01942
255.0,14.56917,2.61284,3.7944,7.59961,-0.05162,-13.07341,-3.25998,17.89059,3.60473,8.03279,9.884,-22.60195,3.84627
256.0,14.63253,2.84583,3.95059,6.96665,-0.39924,-12.71359,-3.07646,18.04792,3.25168,7.88947,9.8857,-22.64787,4.6844
257.0,14.73927,3.06316,4.11316,6.40669,-0.74637,-12.42335,-2.8714,18.19076,2.90117,7.74708,9.88876,-22.70087,5.51364
258.0,14.87968,3.22787,4.27088,5.92695,-1.05032,-12.2393,-2.68091,18.34259,2.61258,7.60291,9.89528,-22.75903,6.31769
259.0,15.04521,3.31132,4.40967,5.53297,-1.27626,-12.17079,-2.52375,18.51779,2.41057,7.45399,9.90591,-22.81978,7.08408
260.0,15.23018,3.30181,4.51448,5.22934,-1.40363,-12.2031,-2.40326,18.71822,2.28767,7.2973,9.92012,-22.88044,7.80447
261.0,15.43051,3.20539,4.56973,5.0144,-1.42404,-12.30952,-2.31825,18.93201,2.22232,7.13046,9.93659,-22.93841,8.47404
262.0,15.64257,3.0461,4.5573,4.88267,-1.34518,-12.45951,-2.26546,19.13585,2.1951,6.95251,9.95344,-22.99125,9.08929
263.0,15.86257,2.85846,4.45885,4.82987,-1.19331,-12.62525,-2.23813,19.30477,2.1967,6.76451,9.96823,-23.036,9.64635
264.0,16.08525,2.67283,4.26204,4.85153,-1.00433,-12.78171,-2.22635,19.42113,2.2228,6.56932,9.97763,-23.06807,10.1407
265.0,16.30568,2.50867,3.96501,4.93975,-0.81313,-12.91301,-2.22306,19.47611,2.27467,6.37119,9.97827,-23.08118,10.56816
266.0,16.5213,2.37368,3.57891,5.08291,-0.64635,-13.01062,-2.22384,19.47005,2.35152,6.17535,9.96771,-23.0685,10.92728
267.0,16.73059,2.26265,3.13047,5.26444,-0.51593,-13.07323,-2.224,19.41369,2.44439,5.98816,9.94496,-23.02393,11.22255
268.0,16.92897,2.1587,2.6623,5.45968,-0.41658,-13.11334,-2.21998,19.3264,2.54119,5.81674,9.91036,-22.94329,11.46567
269.0,17.10796,2.03955,2.22637,5.6384,-0.33011,-13.15092,-2.20924,19.23294,2.62733,5.66764,9.86479,-22.82549,11.67422
270.0,17.26044,1.88771,1.86473,5.77379,-0.23675,-13.19941,-2.19229,19.15678,2.69141,5.54513,9.80877,-22.67216,11.86697
271.0,17.38866,1.70115,1.5871,5.85285,-0.13048,-13.2459,-2.1732,19.11139,2.72867,5.45081,9.74202,-22.48634,12.05664
272.0,17.50668,1.49543,1.3695,5.87889,-0.02498,-13.25303,-2.15809,19.09576,2.74174,5.38444,9.66328,-22.27119,12.24695
273.0,17.63246,1.29212,1.17548,5.86453,0.05619,-13.17966,-2.15026,19.09964,2.73422,5.34395,9.56961,-22.02896,12.43684
274.0,17.77895,1.10615,0.97601,5.82448,0.09387,-12.9983,-2.14712,19.11151,2.70576,5.32531,9.4566,-21.76114,12.62508
275.0,17.95108,0.94211,0.75913,5.77274,0.08008,-12.70356,-2.14127,19.12392,2.65443,5.32409,9.31973,-21.47076,12.811
276.0,18.14519,0.79454,0.53534,5.72009,0.01896,-12.31629,-2.12337,19.13691,2.57959,5.33794,9.15557,-21.16323,12.99343
277.0,18.34858,0.64804,0.33794,5.6722,-0.07497,-11.88266,-2.08494,19.15689,2.48107,5.36663,8.96089,-20.84436,13.16869
278.0,18.54556,0.48297,0.20702,5.63306,-0.18424,-11.45599,-2.02091,19.19018,2.35729,5.41102,8.73161,-20.51869,13.3279
279.0,18.72802,0.2836,0.16352,5.61195,-0.29533,-11.0767,-1.93507,19.23496,2.21457,5.47262,8.46308,-20.18983,13.4551
280.0,18.8977,0.0415,0.19962,5.62237,-0.39758,-10.75841,-1.8409,19.27782,2.06715,5.55372,8.15199,-19.86142,13.5275
281.0,19.06253,-0.24353,0.28583,5.67711,-0.48277,-10.49523,-1.76266,19.29491,1.94062,5.6574,7.79731,-19.53703,13.51662
282.0,19.23295,-0.56081,0.37858,5.78596,-0.54954,-10.26799,-1.7361,19.25384,1.87443,5.78648,7.40077,-19.21949,13.38707
283.0,19.41827,-0.89041,0.42866,5.95426,-0.60445,-10.04849,-1.80691,19.11364,1.92256,5.94207,6.96669,-18.91083,13.0956
284.0,19.62401,-1.20895,0.39118,6.18031,-0.66017,-9.80714,-2.02266,18.83068,2.15041,6.12238,6.50177,-18.61259,12.59966
285.0,19.84874,-1.49481,0.23277,6.45103,-0.7353,-9.51819,-2.41966,18.3717,2.62295,6.32285,6.01537,-18.326,11.87232
286.0,20.0823,-1.73086,-0.06289,6.73992,-0.857,-9.15632,-3.01577,17.72668,3.38381,6.53637,5.51974,-18.05258,10.90852
287.0,20.30511,-1.90609,-0.49073,7.00933,-1.06117,-8.68524,-3.80572,16.91795,4.42204,6.75357,5.03046,-17.79453,9.72318
