frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,2.35392,0.0,0.520198,0.0,0.0,0.0,0.0,0.147036,0.305281,0.422142,0.00843942,0.0297699
1.0,2.38725,0.0,0.298,0.0,0.0,0.0,0.0,0.234197,0.374236,0.273392,0.029638,0.168712
2.0,2.42059,0.0141572,0.128025,0.0,0.0,0.0,0.0,0.357917,0.389016,0.0842497,0.115927,0.0195942
3.0,2.45392,0.0,0.959128,0.0,0.0,0.0,0.0,0.28585,0.174093,0.0305863,0.0233338,0.140798
4.0,2.48725,0.0,0.67928,0.0,0.226267,0.61743,0.0634831,0.0722141,0.085305,0.0,0.511967,0.505103
5.0,2.52059,0.0,0.523261,0.0,0.0710944,0.243846,0.115402,0.0,0.0,0.0,0.0407979,0.199845
6.0,2.55392,0.0899421,0.0931558,0.0,0.0345808,0.123113,0.00373038,0.106316,0.0800486,0.0,0.154694,0.0658777
7.0,2.58725,0.118652,0.3019,0.0,0.0268765,0.11417,0.0868191,0.0,0.0,0.0,0.0271322,0.0318513
8.0,2.62059,0.155727,0.135799,0.0,0.0,0.0,0.0,0.0166384,0.0904487,0.0663035,0.0211568,0.0171319
9.0,2.65392,0.0881168,0.0707364,0.0,0.0119069,0.0462535,0.0141297,0.0410062,0.0982426,0.0,0.29768,0.0551558
10.0,2.68725,0.108952,0.111157,0.0,0.00686834,0.028174,0.0444458,0.00778674,0.098888,0.0,0.43466,0.0486637
11.0,2.72059,0.131149,0.150161,0.0,0.0,0.00839335,0.0992182,0.0,0.097165,0.0,0.415034,0.0466474
12.0,2.75392,0.182659,0.0381195,0.0715085,0.0,0.0,0.0325803,0.0,0.140534,0.0,0.479743,0.0491958
13.0,2.78725,0.342465,0.14289,0.0024909,0.0,0.0,0.0992776,0.0,0.199647,0.0114479,0.571114,0.0
14.0,2.82059,0.150865,0.208648,0.0,0.0,0.0,0.293337,0.0,0.122102,0.0,0.679891,0.0
15.0,2.85392,0.464171,0.16808,0.0,0.00207496,0.0,0.192164,0.0,0.104821,0.0,0.466458,0.0
16.0,2.88725,0.657059,0.12016,0.0,0.0411786,0.100468,0.408327,0.0,0.0,0.0,0.239098,0.0
17.0,2.92059,0.782089,0.169004,0.304701,0.0658903,0.170569,0.517682,0.0,0.0,0.0629416,0.247244,0.0
18.0,2.95392,0.800571,0.311645,0.23741,0.0627658,0.150824,0.684277,0.0,0.0,0.199923,0.339418,0.0
19.0,2.98725,0.737494,0.28516,0.406626,0.0618348,0.130633,0.718977,0.0,0.0,0.222969,0.395978,0.0
