frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,6.95139,0.0,0.0740515,0.0,0.00817182,0.0406245,0.0,0.0263891,0.0527139,0.0,0.116628,0.10446
1.0,6.98472,0.0111261,0.0614165,0.0,0.0,0.0,0.0,0.000180371,0.0515923,0.0625682,0.0370323,0.12856
2.0,7.01805,0.00965944,0.122916,0.0,0.0,0.0,0.0,0.0,0.18214,0.143313,0.0374558,0.110907
3.0,7.05139,0.0691965,0.0811492,0.0,0.0116654,0.0408624,0.0234133,0.0109733,0.0645945,0.0,0.256924,0.0360177
4.0,7.08472,0.0,0.251448,0.0,0.0133319,0.0398097,0.0333548,0.0,0.0758819,0.0,0.376668,0.0225204
5.0,7.11805,0.0,0.223343,0.0,0.0,0.0,0.0940807,0.0,0.104482,0.0,0.425513,0.0776208
6.0,7.15139,0.0259261,0.148557,0.0,0.0,0.0,0.0706899,0.0,0.194446,0.111401,0.469831,0.0726865
7.0,7.18472,0.267836,0.341251,0.00258154,0.0,0.0,0.193258,0.0,0.119723,0.0665629,0.333522,0.0
8.0,7.21805,0.250615,0.0915864,0.000749243,0.0,0.0,0.0813464,0.0,0.0643033,0.0,0.418842,0.0
9.0,7.25139,0.316442,0.178775,0.0,0.0,0.00291156,0.066063,0.000262828,0.0583843,0.0,0.433126,0.0
10.0,7.28472,0.322163,0.203078,0.145544,0.0131178,0.0442655,0.147221,0.0,0.00266367,0.0,0.300596,0.0
11.0,7.31805,0.280716,0.201157,0.440774,0.0257344,0.0747868,0.35269,0.0,0.0,0.005481,0.337697,0.0
12.0,7.35139,0.788303,0.205372,0.444783,0.060006,0.151442,0.606409,0.0,0.0,0.0656891,0.424916,0.0
13.0,7.38472,0.802676,0.158054,0.459642,0.0735073,0.178572,0.631174,0.0,0.0,0.0803931,0.527792,0.0
14.0,7.41805,0.755596,0.272341,0.197866,0.0230036,0.0474103,0.464027,0.0,0.0349263,0.0680233,0.343928,0.0
15.0,7.45139,0.0665509,0.0,0.102647,0.0896703,0.22449,0.0,0.425003,0.0,0.0,0.855888,0.0838646
16.0,7.48472,0.176591,0.0987692,0.342218,0.0,0.0,0.0,0.0743201,0.0460714,0.0,0.10904,0.0
17.0,7.51805,0.178789,0.00852719,0.177867,0.0,0.0124534,0.0204713,0.0,0.00903978,0.0,0.241353,0.088128
18.0,7.55139,0.280304,0.0,0.311591,0.0327216,0.131465,0.0209693,0.0,0.0,0.0,0.406522,0.0
19.0,7.58472,0.0,0.0419976,0.0,0.00221113,0.0787943,0.0,0.0104448,0.0158562,0.0,0.175683,0.147179
20.0,7.61805,0.0,0.0320956,0.0,0.012876,0.105802,0.11267,0.0,0.0,0.0224923,0.00379928,0.0718953
21.0,7.65139,0.0,0.0172138,0.0,0.0,0.0168057,0.0446229,0.0,0.00115404,0.00199337,0.0345077,0.127188
22.0,7.68472,0.0,0.0265868,0.0,0.0,0.0,0.0,0.0145222,0.00374543,0.00341789,0.046416,0.120499
23.0,7.71805,0.0,0.157045,0.0,0.0,0.0,0.0,0.133333,0.0205382,0.0959431,0.0399078,0.0485625
24.0,7.75139,0.0,0.402193,0.0,0.0,0.0,0.0,0.13669,0.0163021,0.246662,0.0343158,0.0527199
25.0,7.78472,0.0,0.546217,0.0,0.0,0.0,0.0,0.0731496,0.0360345,0.344433,0.0213025,0.0777095
26.0,7.81805,0.0,0.624642,0.0,0.0,0.0,0.0,0.0203702,0.109498,0.46565,0.0,0.127104
27.0,7.85139,0.0,0.505791,0.0,0.0,0.0,0.0,0.0,0.275151,0.451224,0.0,0.144307
28.0,7.88472,0.0433596,0.293904,0.0,0.0,0.0,0.0,0.0949401,0.379412,0.274142,0.0347549,0.0244949
29.0,7.91805,0.0415605,0.135264,0.0,0.0,0.0,0.0,0.288257,0.303892,0.14698,0.0813226,0.0307216
30.0,7.95139,0.0,0.948505,0.0,0.0131726,0.0532747,0.0,0.231276,0.114471,0.0248567,0.0,0.0349687
31.0,7.98472,0.0,0.814368,0.0,0.247507,0.611802,0.269791,0.00475842,0.0,0.0,0.232945,0.0447589
32.0,8.01805,0.0312063,0.316174,0.0,0.0634729,0.201342,0.158521,0.0,0.0,0.0,0.0,0.0885196
33.0,8.05139,0.00280069,0.0,0.00131969,0.00843284,0.0402754,0.0,0.0175383,0.0485399,0.0,0.129488,0.176645
34.0,8.08472,0.0,0.047806,0.0,0.0,0.0,0.0,0.00430321,0.0425132,0.0308954,0.0320821,0.106706
35.0,8.11805,0.0290148,0.114946,0.0,0.0,0.0,0.0,0.0,0.196254,0.158157,0.0470409,0.114558
36.0,8.15139,0.0890743,0.0902857,0.0,0.00821168,0.0297275,0.014195,0.0205882,0.0650507,0.0,0.241724,0.0127901
37.0,8.18472,0.0,0.23815,0.0,0.0115134,0.0337799,0.0252231,0.0,0.0809988,0.0,0.358372,0.0264534
38.0,8.21805,0.0,0.143784,0.0,0.0,0.0,0.0416723,0.0,0.133055,0.0,0.441836,0.0727092
39.0,8.25139,0.0,0.144777,0.0,0.0,0.0,0.0303038,0.0,0.209265,0.0825316,0.445676,0.0605829
40.0,8.28472,0.205432,0.370802,0.0419997,0.0,0.0,0.194346,0.0,0.141485,0.077979,0.330236,0.0
