frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
49.0,8.38526,0.155231,0.188559,0.0305998,0.0433992,0.125197,0.462979,0.0,0.0,0.0130667,0.355346,0.0
50.0,8.41859,0.231453,0.193192,0.164138,0.0577797,0.162816,0.509008,0.0,0.0,0.0310762,0.369921,0.0
51.0,8.45192,0.237156,0.0,0.20983,0.0,0.11756,0.637412,0.0,0.0,0.0,0.432517,0.0
52.0,8.48526,0.173004,0.01254,0.134629,0.0,0.0916499,0.777511,0.0,0.0,0.0320324,0.564723,0.00979064
53.0,8.51859,0.567707,0.0,0.127247,0.0351769,0.0935918,0.680835,0.0,0.0263699,0.0435425,0.650793,0.224339
54.0,8.55192,0.655649,0.0,0.399428,0.0,0.0,0.321389,0.0,0.0619606,0.0,0.624757,0.0
55.0,8.58526,0.551933,0.0,0.375575,0.0,0.0,0.20586,0.0,0.20093,0.0,0.594924,0.048537
56.0,8.61859,0.468732,0.453799,0.439444,0.0182543,0.047519,0.0,0.157517,0.057618,0.0,0.367113,0.107388
57.0,8.65192,0.257242,0.0198294,0.21961,0.032459,0.126255,0.0,0.0618604,0.0,0.0,0.394704,0.0019717
58.0,8.68526,0.232753,0.0,0.109087,0.0629315,0.221769,0.0,0.0548273,0.0,0.0,0.317384,0.0849763
59.0,8.71859,0.0,0.110532,0.197528,0.0,0.180726,0.143537,0.0,0.00331856,0.0,0.0463446,0.114174
60.0,8.75192,0.0,0.0978115,0.0,0.0,0.0772469,0.14654,0.0,0.0,0.0283085,0.0261864,0.144141
61.0,8.78526,0.0,0.105364,0.0,0.0,0.0,0.157042,0.0,0.0,0.00157698,0.203941,0.120135
62.0,8.81859,0.0,0.204978,0.0,0.0,0.0,0.0173347,0.0,0.00755593,0.0346896,0.296541,0.117904
63.0,8.85192,0.0,0.367864,0.0,0.0,0.0,0.0,0.0947919,0.0416488,0.15602,0.186737,0.0995909
64.0,8.88526,0.0,0.600263,0.0,0.0,0.0,0.0,0.00338522,0.102379,0.427309,0.0133744,0.0363662
65.0,8.91859,0.0266274,0.603053,0.0,0.0,0.0,0.0,0.00603739,0.201667,0.476057,0.0,0.0589167
66.0,8.95192,0.0202329,0.449489,0.0,0.0,0.0,0.0,0.00417815,0.271001,0.40621,0.0,0.0524383
67.0,8.98526,0.0,0.306411,0.0,0.0,0.0,0.0,0.0,0.264419,0.292906,0.0435836,0.0
68.0,9.01859,0.0288908,0.343347,0.0,0.0,0.0,0.0,0.0710426,0.228376,0.0,0.0,0.0
69.0,9.05192,0.0335181,0.294836,0.0,0.0,0.0,0.0,0.0258998,0.336754,0.0,0.08826,0.0
70.0,9.08526,0.0199434,0.06954,0.0,0.0,0.0,0.0,0.118487,0.18502,0.0156413,0.125858,0.0
71.0,9.11859,0.0,0.964462,0.0,0.0,0.000243981,0.00942933,0.132459,0.0564174,0.0,0.0,0.0431987
72.0,9.15192,0.0,0.932129,0.0,0.0409629,0.139306,0.0145672,0.03633,0.00839464,0.0,0.0856714,0.0097851
73.0,9.18526,0.0,0.50076,0.0,0.0801594,0.283574,0.0515058,0.0,0.0147478,0.0,0.0905237,0.247329
74.0,9.21859,0.014967,0.166352,0.0265866,0.00941094,0.0833668,0.166804,0.0,0.0,0.0,0.0,0.0522687
75.0,9.25192,0.00499823,0.108138,0.0202355,0.0,0.0133931,0.0343312,0.0662009,0.0494578,0.0,0.124697,0.0760177
76.0,9.28526,0.0,0.307331,0.0,0.0,0.0496764,0.215551,0.0387255,0.242899,0.0,0.368552,0.108547
77.0,9.31859,0.0920164,0.077536,0.0502429,0.0151073,0.0568131,0.128649,0.0,0.0663254,0.0,0.459536,0.105274
78.0,9.35192,0.195304,0.135413,0.056,0.0,0.0,0.107964,0.0,0.128141,0.0,0.542585,0.0869288
79.0,9.38526,0.0867591,0.309329,0.0,0.0,0.0,0.23288,0.0,0.194655,0.0600616,0.357571,0.0516841
80.0,9.41859,0.171644,0.0101404,0.068019,0.0170951,0.206949,0.102296,0.0,0.0,0.0,0.414054,0.0656889
81.0,9.45192,0.0395026,0.239573,0.0,0.0392836,0.117189,0.322511,0.0,0.0322388,0.0,0.500617,0.0
82.0,9.48526,0.0658632,0.229334,0.0,0.040482,0.115403,0.430203,0.0,0.00153256,0.0,0.399878,0.0
83.0,9.51859,0.174845,0.212172,0.126193,0.049529,0.141201,0.498631,0.0,0.0,0.0272498,0.393566,0.0
84.0,9.55192,0.194441,0.0,0.231984,0.0,0.172241,0.618719,0.0,0.0,0.0,0.443601,0.0
85.0,9.58526,0.156436,0.0247219,0.170997,0.0,0.0867974,0.722914,0.0,0.0,0.0201176,0.509313,0.0517476
86.0,9.61859,0.397577,0.00577366,0.217254,0.0354272,0.101296,0.697104,0.0,0.0498153,0.0518783,0.670432,0.101796
87.0,9.65192,0.590861,0.0805668,0.478515,0.0,0.0,0.596246,0.0,0.106863,0.0725537,0.66726,0.033494
88.0,9.68526,0.586538,0.0653221,0.461888,0.0,0.0,0.125567,0.0,0.309659,0.0,0.623529,0.0823938
89.0,9.71859,0.449234,0.0644719,0.411433,0.0,0.0,0.0,0.0441747,0.15982,0.0,0.529544,0.0192234
90.0,9.75192,0.210184,0.0149743,0.210347,0.0279286,0.0950874,0.0,0.174614,0.0311098,0.0,0.452404,0.0261903
91.0,9.78526,0.358546,0.0324438,0.306532,0.0824202,0.26869,0.0,0.0338231,0.0,0.0,0.455229,0.0
92.0,9.81859,0.0,0.14929,0.144547,0.0,0.185227,0.0866055,0.0,0.0122627,0.0,0.0618941,0.0692692
93.0,9.85192,0.0,0.2433,0.0839434,0.0,0.156763,0.091222,0.0,0.0,0.0,0.0510598,0.0351749
94.0,9.88526,0.0,0.109555,0.0,0.0,0.0196875,0.0827001,0.0,0.0,0.00354673,0.0877491,0.0974044
95.0,9.91859,0.0,0.192967,0.0,0.0,0.0,0.0274633,0.0,0.01029,0.021307,0.215186,0.165627
96.0,9.95192,0.0,0.287314,0.0,0.0,0.0,0.00824608,0.0254978,0.0246066,0.0478861,0.162514,0.0
97.0,9.98526,0.0,0.601498,0.0,0.0,0.0,0.0,0.00640204,0.079058,0.409732,0.0,0.0507542
98.0,10.0186,0.0152104,0.603406,0.0,0.0,0.0,0.0,0.0,0.182328,0.467471,0.0,0.0
99.0,10.0519,0.0305089,0.4597,0.0,0.0,0.0,0.0,0.020555,0.284632,0.408055,0.0,0.0517371
100.0,10.0853,0.0257786,0.311661,0.0,0.0,0.0,0.0,0.0169493,0.290737,0.283876,0.0217588,0.034233
101.0,10.1186,0.0325048,0.339262,0.0,0.0,0.0,0.0,0.0784624,0.247128,0.0,0.0,0.0
102.0,10.1519,0.035306,0.297719,0.0,0.0,0.0,0.0,0.06092,0.385917,0.0,0.117474,0.000694515
103.0,10.1853,0.0255207,0.0782112,0.0,0.0,0.0,0.0,0.126458,0.1791,0.0139766,0.109287,0.0
104.0,10.2186,0.0,0.982383,0.0,0.0282362,0.105411,0.0,0.146586,0.116387,0.0,0.314116,0.049775
105.0,10.2519,0.0,0.915487,0.0,0.0468282,0.165891,0.0258097,0.0209033,0.0,0.0,0.0221526,0.0
106.0,10.2853,0.0,0.392628,0.0,0.0571804,0.248486,0.145422,0.0,0.0,0.0,0.00161307,0.0411257
107.0,10.3186,0.0558881,0.182809,0.020778,0.00777604,0.0765469,0.131573,0.0,0.0,0.0,0.0246039,0.0775253
108.0,10.3519,0.0300811,0.0934147,0.0094988,0.00261905,0.0455909,0.0417248,0.0784212,0.0802929,0.0,0.216655,0.101551
109.0,10.3853,0.0867281,0.0530604,0.00720609,0.015964,0.0670358,0.067053,0.0601482,0.112425,0.0,0.449832,0.123047
110.0,10.4186,0.204591,0.162981,0.0500663,0.0,0.00555558,0.152424,0.0,0.0674802,0.0,0.479681,0.133215
111.0,10.4519,0.203932,0.175277,0.0441745,0.0,0.0,0.10104,0.0,0.136467,0.00332158,0.527752,0.132443
112.0,10.4853,0.145966,0.236922,0.0,0.0,0.0,0.284007,0.0,0.196001,0.0717723,0.312261,0.0760224
113.0,10.5186,0.157845,0.0116112,0.0217522,0.0365626,0.104457,0.257537,0.0,0.0500283,0.0,0.461394,0.0421699
114.0,10.5519,0.117341,0.156606,0.0,0.0351169,0.102143,0.388283,0.0,0.0044217,0.0,0.403739,0.0
115.0,10.5853,0.172546,0.196434,0.0774505,0.0464095,0.132556,0.470561,0.0,0.0,0.0124305,0.367277,0.0
116.0,10.6186,0.218233,0.274904,0.150453,0.0553314,0.156731,0.507521,0.0,0.0,0.0352983,0.377799,0.0
117.0,10.6519,0.243079,0.0,0.237626,0.0,0.130738,0.648626,0.0,0.0,0.0,0.435768,0.0
118.0,10.6853,0.175791,0.021975,0.171239,0.0,0.114345,0.776897,0.0,0.0,0.0292053,0.557629,0.00338216
119.0,10.7186,0.534991,0.00599658,0.299388,0.0310406,0.0864185,0.667358,0.0,0.0410095,0.0359746,0.661681,0.194636
120.0,10.7519,0.67575,0.0521647,0.501218,0.0,0.0,0.322155,0.0,0.100544,0.0,0.628402,0.0
121.0,10.7853,0.560098,0.0431703,0.437674,0.0,0.0,0.235815,0.0,0.174793,0.0,0.564456,0.0506653
122.0,10.8186,0.355938,0.0634823,0.33027,0.0471345,0.105962,0.0,0.364542,0.0252184,0.0,0.48245,0.146543
123.0,10.8519,0.273864,0.0295291,0.240116,0.0369905,0.13636,0.0,0.0812185,0.0,0.0,0.404594,0.00771522
124.0,10.8853,0.3256,0.0,0.170971,0.0853756,0.27987,0.00493065,0.0334277,0.0,0.0,0.379774,0.0342169
125.0,10.9186,0.0,0.10738,0.19182,0.0,0.174672,0.157274,0.0,0.00878804,0.0,0.0524249,0.0946278
126.0,10.9519,0.0,0.245359,0.050699,0.0,0.131715,0.0935219,0.0,0.0447521,0.0,0.0509822,0.0842058
127.0,10.9853,0.0,0.126906,0.0,0.0,0.0183667,0.140158,0.0,0.0,0.0,0.130656,0.106125
128.0,11.0186,0.0,0.269439,0.0,0.0,0.0,0.0,0.0,0.00504149,0.0653206,0.271799,0.0844223
129.0,11.0519,0.0,0.356132,0.0,0.0,0.0,0.0,0.0674554,0.0459584,0.132222,0.179321,0.0231485
130.0,11.0853,0.0,0.603877,0.0,0.0,0.0,0.0,0.0,0.0955538,0.430873,0.0160627,0.0419888
131.0,11.1186,0.0180992,0.578075,0.0,0.0,0.0,0.0,0.00166008,0.183431,0.456508,0.0,0.0509583
132.0,11.1519,0.0180132,0.442073,0.0,0.0,0.0,0.0,0.0057829,0.268687,0.403626,0.0,0.0542134
133.0,11.1853,0.0,0.29949,0.0,0.0,0.0,0.0,0.0,0.264789,0.294863,0.0145236,0.0435343
134.0,11.2186,0.030514,0.337842,0.0,0.0,0.0,0.0,0.075343,0.239727,0.0,0.0,0.0
135.0,11.2519,0.0286161,0.299426,0.0,0.0,0.0,0.0,0.0473478,0.366835,0.0,0.114441,0.0
136.0,11.2853,0.0227423,0.0749976,0.0,0.0,0.0,0.0,0.124242,0.184017,0.015782,0.116419,0.0
137.0,11.3186,0.0,0.962946,0.0,0.00506675,0.0238575,0.00174716,0.140013,0.0656073,0.0,0.0397541,0.0
138.0,11.3519,0.0,0.927483,0.0,0.0423952,0.146828,0.0032035,0.0588693,0.012877,0.0,0.0335541,0.0
139.0,11.3853,0.0,0.381688,0.00494844,0.0622664,0.24272,0.0676776,0.0,0.00449966,0.0,0.0682926,0.103778
140.0,11.4186,0.0190091,0.150396,0.0162852,0.0141291,0.104273,0.168731,0.0,0.0,0.0065213,0.0,0.0639202
141.0,11.4519,0.0193674,0.120438,0.0230247,0.0058362,0.0549324,0.0394192,0.075311,0.0752988,0.0,0.201241,0.0938661
142.0,11.4853,0.0345401,0.0607378,0.0127733,0.0183818,0.0779056,0.061755,0.0802319,0.117548,0.0,0.436058,0.115553
143.0,11.5186,0.159269,0.180231,0.0538525,0.00426154,0.0188814,0.118146,0.0,0.0888064,0.0,0.49547,0.135653
144.0,11.5519,0.141443,0.150752,0.0411985,0.0,0.0,0.077559,0.0,0.148629,0.0,0.552394,0.136506
145.0,11.5853,0.109519,0.234353,0.0,0.0,0.0,0.26404,0.0,0.213901,0.0684574,0.356985,0.0964337
146.0,11.6186,0.205972,0.0198375,0.0426067,0.011075,0.199531,0.210286,0.0,0.0,0.0,0.44252,0.0876828
147.0,11.6519,0.00879727,0.242769,0.0,0.0378503,0.116095,0.346541,0.0,0.0212288,0.0,0.496693,0.0
148.0,11.6853,0.0858153,0.223113,0.0,0.044098,0.126189,0.441229,0.0,0.0,0.0,0.392658,0.0
149.0,11.7186,0.183187,0.222671,0.0973471,0.0536808,0.152022,0.48863,0.0,0.0,0.0238196,0.389481,0.0
150.0,11.7519,0.271498,0.231919,0.173476,0.0644476,0.178514,0.538829,0.0,0.0,0.0380112,0.423115,0.0
151.0,11.7853,0.193798,0.0146895,0.232564,0.0,0.183126,0.780847,0.0,0.0,0.0,0.566907,0.0
152.0,11.8186,0.423022,0.0277248,0.252274,0.0589818,0.165897,0.757923,0.0,0.0446751,0.0651537,0.690516,0.153864
153.0,11.8519,0.659025,0.0398329,0.480725,0.0,0.0,0.552209,0.0,0.216724,0.0615513,0.653071,0.0172368
154.0,11.8853,0.587923,0.0254872,0.442662,0.0,0.0,0.267677,0.0,0.150268,0.00395251,0.49465,0.0543137
155.0,11.9186,0.36715,0.100731,0.415216,0.0,0.00385833,0.154732,0.0,0.0317523,0.0,0.525951,0.0
156.0,11.9519,0.223557,0.0455024,0.236706,0.0390652,0.137827,0.0,0.114081,0.00683249,0.0,0.355486,0.0158526
157.0,11.9853,0.375683,0.0,0.308084,0.091431,0.297469,0.0406431,0.0222493,0.0,0.0,0.491994,0.0
158.0,12.0186,0.0,0.13474,0.158551,0.0,0.204643,0.133976,0.0,0.00713627,0.0,0.0554128,0.0580507
159.0,12.0519,0.0,0.0895468,0.0,0.0,0.108072,0.173938,0.0,0.0,0.0299624,0.0174178,0.130474
160.0,12.0853,0.0,0.0959985,0.0,0.0,0.0107557,0.132039,0.0,0.0,0.0,0.130403,0.104458
161.0,12.1186,0.0,0.199857,0.0,0.0,0.0,0.0190824,0.0,0.00478186,0.0355962,0.248315,0.100505
162.0,12.1519,0.0,0.357319,0.0,0.0,0.0,0.0,0.0809433,0.0469158,0.145694,0.130382,0.0228064
163.0,12.1853,0.0,0.591124,0.0,0.0,0.0,0.0,0.0165977,0.103312,0.412513,0.00202351,0.0185057
164.0,12.2186,0.0188131,0.584695,0.0,0.0,0.0,0.0,0.003651,0.191977,0.452057,0.0,0.0510789
165.0,12.2519,0.0245133,0.458192,0.0,0.0,0.0,0.0,0.00848111,0.271291,0.40311,0.0,0.0525922
166.0,12.2853,0.0121377,0.305348,0.0,0.0,0.0,0.0,0.0,0.272834,0.28523,0.0237539,0.0386658
167.0,12.3186,0.0287262,0.339594,0.0,0.0,0.0,0.0,0.0768604,0.239001,0.0,0.0,0.0
168.0,12.3519,0.0236115,0.293404,0.0,0.0,0.0,0.0,0.0345785,0.347697,0.0,0.115503,0.0
169.0,12.3853,0.0200409,0.0698472,0.0,0.0,0.0,0.0,0.11619,0.182112,0.0185644,0.112566,0.0
170.0,12.4186,0.0,0.969804,0.0,0.0,0.00745888,0.00656439,0.136866,0.0622598,0.0,0.0,0.0235855
171.0,12.4519,0.0,0.936904,0.0,0.0437783,0.151052,0.0033278,0.0602842,0.0120015,0.0,0.0319787,0.0037751
172.0,12.4853,0.0,0.360122,0.00179044,0.0676481,0.258228,0.0616934,0.0,0.00401746,0.0,0.0744705,0.0994921
173.0,12.5186,0.00658139,0.162577,0.01707,0.0133953,0.106236,0.158823,0.0,0.0,0.0,0.00528286,0.0
174.0,12.5519,0.0290083,0.106912,0.0137392,0.00180623,0.0408542,0.0392021,0.067413,0.0569476,0.0,0.159315,0.107187
175.0,12.5853,0.0,0.344948,0.0,0.0,0.0627849,0.202948,0.0471846,0.254562,0.0,0.382683,0.135979
176.0,12.6186,0.163336,0.201164,0.0313954,0.0151333,0.056389,0.14416,0.0,0.0501978,0.0,0.413252,0.144075
177.0,12.6519,0.264489,0.0836306,0.0547425,0.0,0.0,0.144756,0.0,0.117437,0.0,0.555382,0.108198
178.0,12.6853,0.10803,0.27868,0.0,0.0,0.0,0.30177,0.0,0.149975,0.0538002,0.332524,0.0547985
179.0,12.7186,0.17186,0.0732479,0.04894,0.0392393,0.109119,0.242561,0.0,0.0606212,0.0,0.488018,0.0474278
180.0,12.7519,0.108988,0.16765,0.00983259,0.0378233,0.109771,0.357434,0.0,0.018117,0.0,0.436236,0.0
181.0,12.7853,0.158669,0.224507,0.078691,0.0427349,0.121977,0.459329,0.0,0.0,0.00976425,0.369858,0.0
182.0,12.8186,0.218488,0.224793,0.204899,0.0551151,0.155574,0.506817,0.0,0.0,0.0350099,0.372329,0.0
183.0,12.8519,0.203885,0.00172047,0.158714,0.0,0.0657629,0.631987,0.0,0.0,0.0,0.409011,0.0
184.0,12.8853,0.15546,0.0442237,0.201212,0.0,0.039562,0.753411,0.0,0.0,0.0353153,0.545552,0.0
185.0,12.9186,0.468242,0.0147878,0.265863,0.0383663,0.107369,0.688166,0.0,0.0459134,0.038948,0.676462,0.127493
186.0,12.9519,0.693178,0.0124035,0.477099,0.0,0.0,0.500363,0.0,0.266535,0.048571,0.658092,0.0478611
187.0,12.9853,0.587373,0.0,0.408642,0.0,0.0,0.24136,0.0,0.111851,0.0,0.44957,0.0797918
188.0,13.0186,0.269187,0.132699,0.410236,0.0722072,0.20058,0.0,0.427769,0.0207433,0.0,0.762652,0.0172741
189.0,13.0519,0.242491,0.0182021,0.224992,0.0396171,0.140377,0.0,0.10644,0.0100344,0.0,0.486655,0.0244046
190.0,13.0853,0.329941,0.0234315,0.248803,0.0816084,0.26987,0.00826713,0.0306287,0.0,0.0,0.355866,0.00528121
191.0,13.1186,0.0,0.125215,0.177845,0.0,0.182807,0.130045,0.0,0.00724634,0.0,0.0542382,0.0507819
192.0,13.1519,0.0,0.241543,0.0843385,0.0,0.133546,0.0930767,0.0,0.010536,0.0,0.0545127,0.0640241
193.0,13.1853,0.0,0.106446,0.0,0.0,0.00627495,0.0708649,0.0,0.0,0.0101558,0.0880409,0.100372
194.0,13.2186,0.0,0.216595,0.0,0.0,0.0,0.0155799,0.0,0.0128269,0.0338831,0.246794,0.0983546
195.0,13.2519,0.0,0.294404,0.0,0.0,0.0,0.0,0.0428434,0.0321464,0.0765064,0.177656,0.0220796
196.0,13.2853,0.0,0.594048,0.0,0.0,0.0,0.0,0.0,0.0763895,0.410755,0.0286925,0.0440406
197.0,13.3186,0.0209102,0.586229,0.0,0.0,0.0,0.0,0.0,0.183734,0.451817,0.0,0.0464363
198.0,13.3519,0.0266155,0.457098,0.0,0.0,0.0,0.0,0.0113813,0.280427,0.407675,0.0,0.0420596
199.0,13.3853,0.0143108,0.300842,0.0,0.0,0.0,0.0,0.00928507,0.276906,0.288765,0.0150813,0.0312593
200.0,13.4186,0.0292451,0.33376,0.0,0.0,0.0,0.0,0.0769769,0.23935,0.0,0.0,0.0
