frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,12.6226,0.123572,0.113513,0.132489,0.0,0.0,0.106691,0.0,0.114262,0.0,0.494396,0.18111
1.0,12.6559,0.196776,0.0159672,0.115633,0.0,0.0,0.015533,0.0,0.296385,0.0432406,0.591329,0.122221
2.0,12.6893,0.0610227,0.102009,0.270355,0.0745281,0.215698,0.000690487,0.0518134,0.0814247,0.0,0.423872,0.136767
3.0,12.7226,0.134944,0.295985,0.0136314,0.0190274,0.0600693,0.0491583,0.0,0.0663118,0.0,0.484942,0.0
4.0,12.7559,0.295588,0.272948,0.10672,0.0113293,0.0387808,0.255203,0.0,0.022754,0.0,0.405532,0.0
5.0,12.7893,0.373682,0.363399,0.188964,0.0360898,0.104871,0.483077,0.0,0.0,0.00515682,0.319928,0.0
6.0,12.8226,0.463792,0.447,0.258874,0.0516732,0.132412,0.673983,0.0,0.0,0.12195,0.427725,0.0
7.0,12.8559,0.565631,0.458835,0.366471,0.0458129,0.104181,0.70986,0.0,0.0,0.180106,0.500989,0.0375564
8.0,12.8893,0.690097,0.450666,0.554981,0.0487532,0.10563,0.710595,0.0,0.0,0.155495,0.555778,0.0
9.0,12.9226,0.661794,0.206873,0.410309,0.0370011,0.0642799,0.630983,0.0,0.138129,0.0963344,0.465456,0.0469775
10.0,12.9559,0.0233441,0.0,0.0775625,0.037689,0.115413,0.0,0.0738761,0.0,0.0,0.298535,0.176882
11.0,12.9893,0.363964,0.0,0.383657,0.0,0.0121532,0.292784,0.0,0.0100596,0.0201468,0.343339,0.0
12.0,13.0226,0.430702,0.0,0.195682,0.0029635,0.0501853,0.155739,0.0,0.000455976,0.0,0.404669,0.0586227
13.0,13.0559,0.602859,0.0,0.351644,0.0355722,0.180504,0.165374,0.0,0.00500718,0.0,0.646384,0.0
14.0,13.0893,0.0,0.0180787,0.0,0.0,0.0812781,0.0113903,0.0,0.0159766,0.0,0.274393,0.2325
15.0,13.1226,0.0,0.0400832,0.0,0.0,0.112288,0.191616,0.0,0.0,0.018096,0.0832305,0.0788666
16.0,13.1559,0.0,0.0461384,0.0,0.0,0.0306963,0.227344,0.0,0.0,0.0132686,0.136503,0.0617924
17.0,13.1893,0.0,0.0709867,0.0,0.0,0.00404294,0.0111339,0.00890302,0.0,0.021659,0.0500935,0.0516369
18.0,13.2226,0.0,0.200563,0.0,0.0,0.0,0.0,0.0196302,0.0,0.0997282,0.157622,0.0710124
19.0,13.2559,0.0,0.528465,0.0,0.0,0.0,0.0,0.232284,0.0,0.394242,0.0,0.0698753
20.0,13.2893,0.0,0.542237,0.0,0.0,0.0,0.0,0.108367,0.0260117,0.354633,0.00344465,0.0458458
21.0,13.3226,0.01545,0.65091,0.0,0.0,0.0,0.0,0.076803,0.169824,0.490275,0.0,0.0595025
22.0,13.3559,0.0456085,0.565297,0.0,0.0,0.0,0.0,0.135176,0.281874,0.461655,0.0,0.0473738
23.0,13.3893,0.0405765,0.340168,0.0,0.0,0.0,0.0,0.209145,0.36296,0.299142,0.0275602,0.0
24.0,13.4226,0.0349062,0.157592,0.0,0.0,0.0,0.0,0.300926,0.380032,0.137932,0.0772273,0.0249646
25.0,13.4559,0.0,0.91977,0.0,0.0,0.0,0.0,0.299446,0.1768,0.0,0.274532,0.102269
26.0,13.4893,0.0,0.961261,0.0,0.168529,0.457326,0.0573302,0.160467,0.159734,0.0,0.547888,0.547268
27.0,13.5226,0.0,0.743003,0.0,0.0518522,0.19437,0.00881456,0.0,0.0229678,0.0,0.0871278,0.0
28.0,13.5559,0.0240485,0.283122,0.0791717,0.0290646,0.107537,0.00240175,0.0935704,0.0840947,0.0,0.141834,0.114811
29.0,13.5893,0.142173,0.112424,0.0,0.0170984,0.0568819,0.00611869,0.00884866,0.0,0.0,0.0163071,0.0772279
30.0,13.6226,0.100019,0.0822608,0.0,0.0,0.0,0.0,0.0747859,0.103194,0.0317237,0.10704,0.0829384
31.0,13.6559,0.0278676,0.0,0.0,0.0211379,0.0724941,0.0153101,0.0479285,0.0830971,0.0,0.279139,0.13344
32.0,13.6893,0.0,0.0,0.00780618,0.019917,0.0623172,0.0490587,0.0265109,0.106816,0.0,0.48505,0.113948
33.0,13.7226,0.133692,0.0268101,0.110464,0.0,0.00204013,0.111467,0.0,0.110102,0.0,0.506485,0.151752
34.0,13.7559,0.255992,0.135917,0.153414,0.0,0.0,0.0108812,0.0,0.29609,0.0503897,0.558667,0.154447
35.0,13.7893,0.0749241,0.152774,0.245363,0.0734285,0.212497,0.00235266,0.0402114,0.0810321,0.0,0.434075,0.132111
36.0,13.8226,0.140798,0.327287,0.0114584,0.0228027,0.0723178,0.0489016,0.0,0.0681388,0.0,0.490134,0.0
37.0,13.8559,0.288311,0.315653,0.108504,0.0116016,0.0395867,0.245021,0.0,0.0235852,0.0,0.400874,0.0
38.0,13.8893,0.376408,0.385335,0.188556,0.0354719,0.10385,0.486779,0.0,0.0,0.00525238,0.319076,0.0
39.0,13.9226,0.324164,0.0,0.012437,0.074246,0.185093,0.611509,0.0,0.0,0.0768424,0.376592,0.118729
40.0,13.9559,0.551934,0.445291,0.33433,0.042715,0.101163,0.691966,0.0,0.0,0.162423,0.47634,0.0
